Mm7,4,3,3
Mm65,3,3,2
Mm43,3,2,4
Mm42,2,4,3
M7,4,3,4
M65,3,4,1
M43,4,1,4
M42,1,4,3
m7,3,4,3
m65,4,3,2
m43,3,2,3
m42,2,3,4
o/7,3,3,4
o/65,3,4,2
o/43,4,2,3
o/42,2,3,3
o7,3,3,3
